Station (alphabetical by borough),Boro,2008,2009,2010,2011,2012,2013,2014
Aqueduct Racetrack (A) ,Q,60,52,61,116,0,551,1597
"Broad Channel (A,S) ",Q,360,325,318,304,267,127,251
Beach 44 St (A) ,Q,604,594,478,748,538,297,581
Beach 67 St-Arverne By The Sea (A) ,Q,1929,1912,1546,2236,1859,1118,2183
"Beach 98 St (A,S) ",Q,794,782,503,615,572,292,563
Beach 25 St (A) ,Q,1871,1748,1329,1702,1494,904,1722
Central Av (M) ,B,2202,2347,2548,2903,3445,1744,3282
Beach 36 St (A) ,Q,881,896,1111,622,718,466,872
Beach 60 St (A) ,Q,2478,2401,2624,1798,1924,1317,2448
"Beach 105 St (A,S) ",Q,282,191,208,255,253,141,260
"Beach 90 St (A,S) ",Q,1114,864,908,1019,877,463,846
Far Rockaway-Mott Av (A) ,Q,4655,4568,4662,4750,4068,2651,4748
"Rockaway Park-Beach 116 St (A,S) ",Q,843,796,778,845,741,379,677
"Smith-9 Sts (F,G) ",B,4464,4579,4763,1834,0,2854,4762
Middletown Rd (6) ,Bx,1796,1802,1883,1916,1969,1514,2273
"Marcy Av (J,M,Z) ",B,9217,9550,10349,11319,11591,11775,14573
Parkside Av (Q) ,B,5648,5661,6407,6691,5729,4240,4969
"Broad St (J,Z) ",M,7199,7052,6401,5746,5261,5635,6525
Beverley Rd (Q) ,B,2875,2933,3436,3567,3096,2340,2690
"Bowling Green (4,5) ",M,28094,26925,26411,27015,28183,30640,34830
South Ferry (1)/Whitehall St (R) ,M,28948,29284,29014,29583,26576,20405,23017
Vernon Blvd-Jackson Av (7) ,Q,9541,9607,10028,10450,11541,12610,14123
Bushwick Av-Aberdeen St (L) ,B,1150,1143,1246,1322,1371,1509,1683
Knickerbocker Av (M) ,B,3204,3260,3325,3575,2350,3429,3806
Flushing Av (G) ,B,1974,1900,1930,2032,2157,2373,2627
"Bowery (J,Z) ",M,2822,3084,3016,2763,2746,2743,3015
Wilson Av (L) ,B,3354,3357,3400,3532,3566,3865,4248
Pelham Bay Park (6) ,Bx,6262,6299,6538,6705,6688,6772,7442
"Court Sq (E,G,M,7)",Q,29042,25140,24848,21610,18631,20446,22433
Jefferson St (L) ,B,4865,5059,5408,5771,5951,6612,7230
238 St (1) ,Bx,3681,3492,3514,3019,3612,3598,3934
"West 8 St-New York Aquarium (F,Q) ",B,2333,2302,2506,2478,2285,2069,2262
Atlantic Av (L) ,B,1284,1319,1385,1440,1487,1580,1725
80 St (A) ,Q,4303,4151,4101,4181,4253,4291,4664
"174-175 Sts (B,D) ",Bx,4822,4603,4537,4660,4706,4885,5301
Myrtle-Willoughby Avs (G) ,B,4179,4250,4139,4412,4581,4916,5330
"High St (A,C) ",B,6089,6045,6259,6586,7050,7543,8174
Dyckman St (1) ,M,7482,7248,7092,4025,3795,6564,7112
"50 St (C,E) ",M,18776,17395,16936,17403,17892,19406,20993
"121 St (J,Z) ",Q,2021,2091,2176,2248,2218,2222,2397
18 Av (N) ,B,5077,5227,5049,5469,5507,5092,5491
Westchester Sq-East Tremont Av (6) ,Bx,6322,6178,6359,6663,6663,6820,7351
"Fulton St (A,C,J,Z,2,3,4,5)",M,68975,65635,64287,63203,62779,64461,69444
Cortelyou Rd (Q) ,B,6171,6088,6578,6812,6379,5318,5727
"Kingsbridge Rd (B,D) ",Bx,7788,7417,7208,7189,7184,7422,7975
"39 Av (N,Q) ",Q,2269,2562,2833,2768,3044,3262,3504
"Hoyt St (2,3) ",B,6613,6341,6262,6535,6710,6657,7138
Wakefield-241 St (2) ,Bx,4257,4212,4582,4955,5048,4825,5168
Junius St (3) ,B,2105,2024,2142,2153,2204,2206,2361
"East 180 St (2,5) ",Bx,6428,6341,5931,6518,6832,7003,7489
"28 St (N,R) ",M,9965,9657,10003,10894,11502,11607,12407
Parkchester (6) ,Bx,15189,14978,12724,15516,15190,16614,17746
Fort Hamilton Pkwy (D) ,B,3809,3783,3772,3640,3403,3984,4248
Bedford-Nostrand Avs (G) ,B,5832,5928,6040,6348,6755,7300,7778
"7 Av (B,D,E) ",M,14793,13887,14004,14530,14922,15800,16833
"170 St (B,D) ",Bx,6421,6255,6054,6155,6303,6563,6988
Fresh Pond Rd (M) ,Q,4849,4782,5001,5431,5545,5333,5677
Halsey St (J) ,B,5061,5109,5378,5608,5650,5805,6174
"116 St (B,C) ",M,5752,5745,5945,6153,6328,6594,7005
"Tremont Av (B,D) ",Bx,8842,8542,8513,8767,8882,9157,9727
"138 St-Grand Concourse (4,5) ",Bx,2926,2969,3013,3076,3183,3222,3416
145 St (3) ,M,2777,2848,2873,3136,3273,3426,3631
"Prospect Av (2,5) ",Bx,7457,7291,7551,7212,7053,7424,7857
3 Av (L) ,M,5605,5815,6123,6278,6532,6803,7193
"23 St (N,R) ",M,19695,19065,20007,22080,22981,22760,24060
Bedford Av (L) ,B,18887,19550,21149,22520,23825,25755,27224
"Myrtle-Wyckoff Avs (L,M) ",B,16026,16030,16445,16689,17537,18167,19203
"182-183 Sts (B,D) ",Bx,4747,4612,4550,4546,4507,4554,4813
Marble Hill-225 St (1) ,M,5718,5586,5570,4758,5380,5456,5766
"167 St (B,D) ",Bx,8913,8848,8839,9054,9264,9374,9906
Halsey St (L) ,B,6313,6154,6420,6672,6904,7308,7720
"Gun Hill Rd (2,5) ",Bx,6005,6145,6717,7045,7212,7339,7752
Fulton St (G) ,B,3235,3379,3523,3699,3956,4266,4502
Middle Village-Metropolitan Av (M) ,Q,3640,3763,3815,3983,4053,4092,4318
"Bedford Park Blvd (B,D) ",Bx,6317,6054,6037,6150,6183,6303,6645
Norwood-205 St (D) ,Bx,7869,7588,7602,7779,7872,8043,8466
"Crescent St (J,Z) ",B,4429,4428,4551,4667,4635,4683,4925
79 St (D) ,B,5775,5577,5733,5554,5612,6293,6617
"Wall St (2,3) ",M,26852,26090,25371,25559,25682,26706,28075
Kingston-Throop Avs (C) ,B,4962,4769,4897,5152,5331,5678,5968
Grand St (L) ,B,6816,6700,6923,7169,7171,7444,7824
Graham Av (L) ,B,8503,8766,9442,9828,9889,10136,10643
"3 Av-149 St (2,5) ",Bx,23859,24096,23955,24022,24580,24001,25161
Seneca Av (M) ,Q,2117,2158,2235,2433,2461,2428,2545
"Woodhaven Blvd (J,Z) ",Q,4173,4176,4260,4433,4464,4576,4796
231 St (1) ,Bx,8670,8428,8680,9170,9187,8951,9372
"Central Park North-110 St (2,3) ",M,7678,7927,8098,8472,8751,9130,9559
"49 St (N,Q,R) ",M,25796,24487,25284,25480,25793,25356,26546
163 St-Amsterdam Av (C) ,M,3600,3525,3663,3772,3849,4080,4271
"Gates Av (J,Z) ",B,5037,5194,5413,5787,5964,5999,6277
"5 Av-59 St (N,Q,R) ",M,18894,17762,18200,18797,18816,18394,19245
New Lots Av (L) ,B,3520,3729,3961,4255,4475,4785,5005
"57 St-7 Av (N,Q,R) ",M,29393,28121,27958,27497,28044,28159,29414
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",B,31657,31408,32497,33160,35670,39871,41645
Bay Pkwy (N) ,B,6180,6494,6497,6703,6892,6990,7301
"Queens Plaza (E,M,R)",Q,8558,8277,8370,8869,9695,9696,10125
"Intervale Av (2,5) ",Bx,2775,2785,2951,2974,3121,3420,3571
181 St (A) ,M,9772,9585,9723,10044,10223,10404,10861
"135 St (2,3) ",M,12505,12676,13031,13641,14120,14690,15335
New Lots Av (3) ,B,5874,5752,6015,6223,6214,6349,6626
8 Av (N) ,B,9594,9987,10215,10480,10613,10873,11341
Harlem-148 St (3) ,M,3285,3266,3277,3553,3616,3790,3952
"Franklin Av (C,S) ",B,5022,4906,5348,5786,6111,6227,6492
86 St (N) ,B,2194,2307,2389,2491,2552,2515,2622
"Coney Island-Stillwell Av (D,F,N,Q) ",B,12488,12240,13079,13254,13474,13177,13734
"Chambers St (A,C)/WTC (E)/Park Place (2,3) ",M,54437,51076,50671,53178,53589,53426,55683
Cleveland St (J) ,B,2943,3013,3080,3148,3271,3328,3467
"233 St (2,5) ",Bx,4834,4870,5179,5379,5388,5473,5701
Hunters Point Av (7) ,Q,6655,6210,6023,6113,6521,6400,6666
"Fordham Rd (B,D) ",Bx,11576,11413,11454,11465,11521,11878,12363
"145 St (A,B,C,D) ",M,20476,20126,20730,21576,22125,22879,23805
50 St (1) ,M,26187,24388,24636,25062,25930,26192,27251
Livonia Av (L) ,B,2249,2280,2497,2678,2908,2959,3078
York St (F) ,B,5894,6077,6621,7426,7798,8629,8973
181 St (1) ,M,11133,10604,10803,10370,10978,11228,11673
"96 St (B,C) ",M,8619,8530,9037,9249,9514,9815,10203
Canal St (1) ,M,5689,5526,5691,5960,5854,6039,6277
"8 St-New York University (N,R) ",M,16696,16303,16759,17759,17766,16597,17248
Broadway (G) ,B,3352,3347,3217,3186,3272,3368,3500
Nassau Av (G) ,B,7782,7542,7343,7791,8096,8435,8765
207 St (1) ,M,5640,5746,5917,6745,6954,6098,6336
191 St (1) ,M,7880,7532,7561,7686,8042,8258,8580
"Allerton Av (2,5) ",Bx,5179,5258,5282,5193,5389,5526,5737
"Queensboro Plaza (N,Q,7) ",Q,8955,8682,8916,9577,10752,11132,11554
"125 St (A,B,C,D) ",M,24566,24404,24584,25084,26276,27395,28428
3 Av-138 St (6) ,Bx,6878,6894,6985,7238,7326,7667,7951
Cypress Av (6) ,Bx,3670,3574,3739,3701,3636,3842,3984
Kings Hwy (N) ,B,4923,4989,5017,5065,5104,5154,5344
"Jackson Av (2,5) ",Bx,5089,4961,5249,5110,5060,5432,5631
"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E) ",M,189506,181224,182170,189426,195464,197696,204908
77 St (R) ,B,5236,5080,5146,5228,5306,5353,5548
"36 St (D,N,R) ",B,11151,10852,11135,11411,11946,12059,12497
Shepherd Av (C) ,B,3076,2939,2917,2968,3034,3149,3263
25 St (R) ,B,3859,3736,3812,3915,3820,3821,3959
111 St (A) ,Q,2770,2666,2618,2711,2728,2718,2815
"174 St (2,5) ",Bx,6876,6801,7227,7049,7018,7339,7599
Ralph Av (C) ,B,4721,4617,4840,5007,5175,5381,5570
Avenue H (Q) ,B,2820,2697,2174,1724,2714,2861,2961
1 Av (L) ,M,19203,20006,21157,22039,22436,23467,24286
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6) ",M,33377,32489,34191,36301,37283,38799,40148
Montrose Av (L) ,B,5333,5433,5946,6268,6452,6731,6961
"23 St (C,E) ",M,22749,22061,21934,22900,23572,24782,25620
East Broadway (F) ,M,13321,12783,12779,12993,13052,13276,13720
25 Av (D) ,B,4445,4304,4318,4220,4046,4607,4761
"Newkirk Av (2,5) ",B,7851,7561,7666,7715,7604,7757,8015
45 St (R) ,B,7303,7171,7059,7218,7070,6978,7208
"86 St (B,C) ",M,10998,10469,10572,10771,11093,11236,11605
Grant Av (A) ,B,6170,6091,6089,6216,6290,6270,6475
"104 St (J,Z) ",Q,2509,2498,2527,2558,2553,2575,2659
"65 St (M,R)",Q,3409,3296,3313,3448,3551,3532,3647
"72 St (B,C) ",M,8532,8245,8435,8679,8875,9067,9361
"59 St-Columbus Circle (A,B,C,D,1) ",M,66969,65376,66058,67901,69653,72236,74572
Sutter Av-Rutland Rd (3) ,B,7495,7259,7461,7621,7713,7831,8084
"Broadway Junction (A,C,J,L,Z) ",B,8913,8528,8412,8441,8790,8863,9149
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z) ",Q,20138,20144,20706,21630,22285,23012,23747
Avenue U (N) ,B,3537,3871,3872,3804,3980,3738,3857
"Norwood Av (J,Z) ",B,3390,3319,3381,3366,3518,3492,3603
71 St (D) ,B,4538,4270,4365,3740,4007,4538,4682
"5 Av-53 St (E,M) ",M,26667,24027,23239,23970,24727,25939,26761
103 St-Corona Plaza (7) ,Q,18021,17627,17751,18583,18984,19216,19814
"President St (2,5) ",B,3492,3469,3731,3754,3815,3969,4092
"Chambers St (1,2,3) ",M,18949,20202,21619,22683,23151,23147,23862
Inwood-207 St (A) ,M,8156,8113,8202,8888,8717,8866,9136
"Jay St-MetroTech (A,C,F,R)",B,36596,35723,35884,38037,39561,40183,41405
"Utica Av (A,C) ",B,14057,13515,13584,13977,14327,14673,15117
Fort Hamilton Pkwy (N) ,B,6399,6407,6508,6715,6786,7034,7244
Bay Pkwy (D) ,B,6979,6673,6753,6594,6726,7111,7322
"34 St-Penn Station (1,2,3) ",M,92750,88520,87736,87482,88929,90042,92693
Bay 50 St (D) ,B,2820,3170,3260,3117,2632,2793,2875
"59 St (N,R) ",B,12020,11756,11979,11999,12317,12506,12871
"14 St (A,C,E)/8 Av (L) ",M,36735,35157,36777,38802,40990,42718,43953
"West 4 St-Washington Sq (A,B,C,D,E,F,M) ",M,38018,37304,37175,37873,39157,40798,41968
"Simpson St (2,5) ",Bx,9375,9095,9815,9421,9243,9672,9948
Nostrand Av (3) ,B,3891,3782,3980,4069,4113,4151,4268
DeKalb Av (L) ,B,10374,10066,10451,10829,11004,11617,11943
"Chauncey St (J,Z) ",B,2571,2646,2789,2984,3037,2967,3050
103 St (6) ,M,14500,14663,15210,15673,15721,16189,16641
66 St-Lincoln Center (1) ,M,22623,21496,21717,22436,23305,23651,24311
28 St (1) ,M,12601,12752,13179,13634,14597,15149,15568
"Northern Blvd (M,R)",Q,7584,7263,7066,7049,7201,7235,7431
"63 Dr-Rego Park (M,R)",Q,15171,14395,14940,15557,16056,16334,16771
18 Av (D) ,B,5667,5611,5699,5516,5544,6162,6326
Sutter Av (L) ,B,3556,3766,4050,4201,4437,4555,4675
"Grand Central-42 St (S,4,5,6,7) ",M,153747,144904,144350,147644,150266,153861,157899
"47-50 Sts-Rockefeller Center (B,D,F,M) ",M,60818,55402,56758,59979,59749,61099,62693
Forest Av (M) ,Q,3517,3502,3608,3901,3971,4103,4210
St Lawrence Av (6) ,Bx,4036,4016,5093,1427,3852,3995,4099
Jamaica-Van Wyck (E) ,Q,4299,4279,4588,4882,4930,4992,5121
"Brighton Beach (B,Q) ",B,13064,12848,12770,12421,12376,12185,12498
"125 St (2,3) ",M,13810,14207,13878,14101,14471,15351,15744
Van Siclen Av (C) ,B,2903,2763,2829,2854,2864,2974,3050
"225 St (2,5) ",Bx,3798,3841,4104,4346,4469,4479,4593
Bay Ridge Av (R) ,B,8215,8092,8119,8240,8206,8079,8283
"125 St (4,5,6) ",M,27433,27704,27990,28341,28913,29425,30168
9 Av (D) ,B,6152,5945,5955,5533,5440,5857,6004
79 St (1) ,M,16345,15802,15952,16276,16349,16576,16987
"Nevins St (2,3,4,5) ",B,11406,11579,11778,11708,11653,11468,11752
Classon Av (G) ,B,3713,3760,3935,4170,4288,4490,4601
"168 St (A,C,1) ",M,23458,23592,23572,24019,24580,25041,25659
East 105 St (L) ,B,3414,3407,3525,3684,3727,3818,3911
"116 St (2,3) ",M,9968,10190,10227,10627,11100,11508,11787
Morgan Av (L) ,B,5078,5269,6050,6530,6821,7126,7298
"West Farms Sq-East Tremont Av (2,5) ",Bx,7348,7270,8052,7749,7842,7979,8170
110 St (6) ,M,11320,11425,11630,11836,11908,12162,12452
Van Cortlandt Park-242 St (1) ,Bx,6184,6040,6148,6504,6641,6943,7107
86 St (R) ,B,10659,10457,10710,11076,11313,11648,11920
Neck Rd (Q) ,B,3796,3182,2606,4114,3834,3941,4033
"34 St-Herald Square (B,D,F,M,N,Q,R) ",M,126117,119202,120764,121081,121120,122517,125355
86 St (1) ,M,19354,18933,18901,19269,19677,19766,20221
"34 St-Penn Station (A,C,E) ",M,85542,79875,80009,81585,82511,83717,85634
155 St (C) ,M,2321,2221,2279,2455,2490,2529,2586
"Euclid Av (A,C) ",B,9722,9435,9750,10037,10169,10418,10652
Ozone Park-Lefferts Blvd (A) ,Q,7773,7434,7326,7491,7460,7476,7641
"Freeman St (2,5) ",Bx,3635,3812,4296,4382,4569,4762,4867
"Lexington Av (N,Q,R)/59 St (4,5,6) ",M,65013,61403,63138,65855,67478,67841,69332
Saratoga Av (3) ,B,5572,5472,5529,5662,5697,5807,5933
"Wall St (4,5) ",M,23357,22358,22551,22986,23992,25078,25619
New Utrecht Av (N)/62 St (D) ,B,5161,5052,5155,5340,5883,5159,5270
"Fort Hamilton Pkwy (F,G) ",B,4805,4816,4967,4268,5092,5531,5650
"161 St-Yankee Stadium (B,D,4) ",Bx,26511,26061,26159,26631,27604,26972,27541
20 Av (N) ,B,3923,4108,3903,4011,4091,4190,4277
Brook Av (6) ,Bx,5877,5790,5874,6073,6113,6186,6312
"23 St (F,M) ",M,25917,24407,25100,27049,27977,28749,29327
"42 St-Bryant Pk (B,D,F,M)/5 Av (7) ",M,48939,46431,47741,50375,51962,53222,54289
"81 St-Museum of Natural History (B,C) ",M,12484,12370,12374,12685,13119,13663,13935
Dyckman St (A) ,M,5778,5579,5935,7088,7375,6557,6687
"Van Siclen Av (J,Z) ",B,2437,2550,2615,2765,2829,2883,2940
"Delancey St (F)/Essex St (J,M,Z) ",M,19078,19380,20798,22127,22846,23691,24154
Canarsie-Rockaway Pkwy (L) ,B,12671,12282,12504,12817,13039,13254,13512
Morris Park (5) ,Bx,1957,1873,1871,1966,2083,2210,2253
"Cathedral Pkwy-110 St (B,C) ",M,6448,6309,6597,6742,6933,7117,7253
"Clark St (2,3) ",B,5221,5269,5406,5596,5760,5971,6083
"155 St (B,D) ",M,3735,3728,3823,3845,3947,3948,4022
Elder Av (6) ,Bx,6480,6434,9042,2240,6161,6377,6496
Rockaway Av (3) ,B,5828,5699,5729,5715,5636,5632,5735
"Crown Heights-Utica Av (3,4) ",B,27945,27231,27476,27368,27549,27780,28287
85 St-Forest Pkwy (J) ,Q,3693,3592,3643,3704,3776,3792,3860
52 St (7) ,Q,6614,6388,6440,6596,6748,6830,6951
"Broadway (N,Q) ",Q,13018,12511,12644,12678,13041,13280,13515
East 143 St-St Mary's St (6) ,Bx,899,831,871,941,973,911,927
"219 St (2,5) ",Bx,2982,3049,3261,3337,3413,3483,3544
21 St-Queensbridge (F) ,Q,7374,7602,8365,8678,8749,8761,8914
23 St (1) ,M,14766,14338,14379,14663,14931,15283,15542
145 St (1) ,M,9487,9382,9417,9510,9952,9931,10099
Rockaway Av (C) ,B,4889,4786,4815,4971,5089,5137,5223
"Burke Av (2,5) ",Bx,3380,3367,3392,3387,3491,3612,3672
"Beverly Rd (2,5) ",B,4121,3975,3972,4146,4199,4375,4447
111 St (7) ,Q,10381,10366,10457,10593,10655,10914,11091
"Grand St (B,D) ",M,23333,23266,23304,23284,23406,23770,24153
"Myrtle Av (J,M,Z) ",B,8192,8405,8995,9670,10098,10876,11048
18 St (1) ,M,8076,7846,7968,8199,8437,8505,8638
"Bronx Park East (2,5) ",Bx,2897,2834,2888,2757,2811,2959,3005
