State,Tract,County,StateLegislativeDistrictsLower
36,000100,001,108
36,000100,005,085
36,000100,007,123
36,000100,015,124
36,000100,021,107
36,000100,047,052
36,000100,061,065
36,000100,067,129
36,000100,071,104
36,000100,081,037
36,000100,109,125
36,000101,119,089
36,000101,119,090
36,000103,119,089
36,000104,119,089
36,000110,029,142
36,000110,029,149
36,000200,001,108
36,000200,001,109
36,000200,005,085
36,000200,007,123
36,000200,015,124
36,000200,021,107
36,000200,029,142
36,000200,047,051
36,000200,055,137
36,000200,055,138
36,000200,067,129
36,000200,071,104
36,000200,081,038
36,000200,109,125
36,000201,061,065
36,000201,119,089
36,000202,061,065
36,000202,119,089
36,000203,119,089
36,000300,001,108
36,000300,001,109
36,000300,007,123
36,000300,015,124
36,000300,021,107
36,000300,067,129
36,000300,071,104
36,000300,085,061
36,000300,109,125
36,000300,119,089
36,000300,119,090
36,000301,047,052
36,000400,005,085
36,000400,007,123
36,000400,015,124
36,000400,067,129
36,000400,071,104
36,000400,081,038
36,000400,109,125
36,000401,001,109
36,000401,021,107
36,000401,119,089
36,000401,119,090
36,000402,021,107
36,000402,119,089
36,000403,001,109
36,000404,001,109
36,000500,007,123
36,000500,015,124
36,000500,021,102
36,000500,029,142
36,000500,029,149
36,000500,061,065
36,000500,109,125
36,000500,119,090
36,000501,001,108
36,000501,001,109
36,000501,047,052
36,000501,067,129
36,000501,071,104
36,000502,001,109
36,000502,047,052
36,000502,071,104
36,000600,001,108
36,000600,001,109
36,000600,007,123
36,000600,015,124
36,000600,021,102
36,000600,029,142
36,000600,061,065
36,000600,067,129
36,000600,071,104
36,000600,081,038
36,000600,085,061
36,000600,085,064
36,000600,109,125
36,000600,119,089
36,000600,119,090
36,000700,001,108
36,000700,001,109
36,000700,007,123
36,000700,015,124
36,000700,021,106
36,000700,029,142
36,000700,047,052
36,000700,055,137
36,000700,061,065
36,000700,067,129
36,000700,081,037
36,000700,085,061
36,000700,109,125
36,000701,119,089
36,000701,119,090
36,000702,119,089
36,000702,119,090
36,000800,001,108
36,000800,001,109
36,000800,021,107
36,000800,029,142
36,000800,061,065
36,000800,067,129
36,000800,081,038
36,000800,085,061
36,000800,085,064
36,000800,109,125
36,000801,119,090
36,000802,119,090
36,000803,119,089
36,000803,119,090
36,000900,007,123
36,000900,015,124
36,000900,021,107
36,000900,029,142
36,000900,047,052
36,000900,061,065
36,000900,067,129
36,000900,085,061
36,000900,109,125
36,000900,119,090
36,001000,015,124
36,001000,021,106
36,001000,029,142
36,001000,055,137
36,001000,055,138
36,001000,067,129
36,001000,081,038
36,001000,109,125
36,001000,119,090
36,001001,061,065
36,001001,061,074
36,001002,061,074
36,001100,001,108
36,001100,001,109
36,001100,007,123
36,001100,015,124
36,001100,021,106
36,001100,029,142
36,001100,047,052
36,001100,071,100
36,001100,085,061
36,001100,109,125
36,001101,119,090
36,001102,119,090
36,001200,007,123
36,001200,021,106
36,001200,061,065
36,001200,061,074
36,001200,071,100
36,001200,081,038
36,001200,109,125
36,001200,119,090
36,001300,007,123
36,001300,021,106
36,001300,047,052
36,001300,055,137
36,001300,061,065
36,001300,061,066
36,001300,071,100
36,001300,109,125
36,001301,119,089
36,001301,119,090
36,001302,119,089
36,001303,119,089
36,001400,001,109
36,001400,007,123
36,001400,021,106
36,001400,067,129
36,001400,081,038
36,001400,109,125
36,001401,061,065
36,001401,119,090
36,001402,029,141
36,001402,061,065
36,001402,119,089
36,001402,119,090
36,001403,119,089
36,001500,001,109
36,001500,007,123
36,001500,021,106
36,001500,029,141
36,001500,047,052
36,001500,047,057
36,001500,055,137
36,001500,067,129
36,001500,071,100
36,001500,109,125
36,001501,061,065
36,001501,061,066
36,001502,061,065
36,001502,119,089
36,001503,119,089
36,001503,119,090
36,001504,119,089
36,001504,119,090
36,001505,119,089
36,001600,001,109
36,001600,005,085
36,001600,005,087
36,001600,007,123
36,001600,021,106
36,001600,029,141
36,001600,061,065
36,001600,067,129
36,001600,071,099
36,001600,071,100
36,001600,081,038
36,001600,109,125
36,001600,119,090
36,001700,001,109
36,001700,007,123
36,001700,021,106
36,001700,029,141
36,001700,085,061
36,001700,109,125
36,001700,119,090
36,001701,067,129
36,001702,067,129
36,001800,007,123
36,001800,021,106
36,001800,047,051
36,001800,055,136
36,001800,061,065
36,001800,067,129
36,001800,081,038
36,001800,085,064
36,001800,109,125
36,001800,119,090
36,001801,001,109
36,001802,001,109
36,001900,005,084
36,001900,005,085
36,001900,021,106
36,001900,029,142
36,001900,055,136
36,001900,067,129
36,001900,081,037
36,001900,109,125
36,001900,119,090
36,001901,001,109
36,001902,001,108
36,001902,001,109
36,002000,001,108
36,002000,001,109
36,002000,005,085
36,002000,021,106
36,002000,047,051
36,002000,055,136
36,002000,055,138
36,002000,061,074
36,002000,067,129
36,002000,081,038
36,002000,109,125
36,002000,119,090
36,002001,085,064
36,002002,085,064
36,002100,001,108
36,002100,001,109
36,002100,047,052
