State,Tract,County,StateLegislativeDistrictsUpper
36,000100,001,044
36,000100,005,034
36,000100,007,052
36,000100,015,058
36,000100,021,043
36,000100,047,025
36,000100,047,026
36,000100,061,026
36,000100,067,050
36,000100,067,053
36,000100,071,039
36,000100,081,012
36,000100,109,058
36,000101,119,035
36,000103,119,035
36,000104,119,035
36,000110,029,060
36,000110,029,063
36,000200,001,044
36,000200,005,034
36,000200,007,052
36,000200,015,058
36,000200,021,043
36,000200,029,063
36,000200,047,023
36,000200,047,025
36,000200,055,056
36,000200,067,050
36,000200,067,053
36,000200,071,039
36,000200,081,012
36,000200,109,058
36,000201,061,026
36,000201,119,035
36,000202,061,026
36,000202,119,035
36,000203,119,035
36,000300,001,044
36,000300,007,052
36,000300,015,058
36,000300,021,043
36,000300,067,053
36,000300,071,039
36,000300,085,023
36,000300,109,058
36,000300,119,035
36,000301,047,026
36,000400,005,034
36,000400,007,052
36,000400,015,058
36,000400,067,050
36,000400,067,053
36,000400,071,039
36,000400,081,012
36,000400,109,051
36,000400,109,058
36,000401,001,044
36,000401,021,043
36,000401,119,035
36,000402,021,043
36,000402,119,035
36,000403,001,044
36,000404,001,044
36,000500,007,052
36,000500,015,058
36,000500,021,043
36,000500,029,060
36,000500,029,063
36,000500,061,026
36,000500,109,054
36,000500,109,058
36,000500,119,035
36,000501,001,044
36,000501,047,026
36,000501,067,050
36,000501,071,039
36,000502,001,044
36,000502,047,025
36,000502,047,026
36,000502,071,039
36,000600,001,044
36,000600,007,052
36,000600,015,058
36,000600,021,043
36,000600,029,063
36,000600,061,026
36,000600,067,050
36,000600,067,053
36,000600,071,039
36,000600,081,012
36,000600,085,023
36,000600,109,054
36,000600,109,058
36,000600,119,035
36,000700,001,044
36,000700,007,052
36,000700,015,058
36,000700,021,043
36,000700,029,063
36,000700,047,026
36,000700,055,056
36,000700,061,026
36,000700,067,050
36,000700,067,053
36,000700,081,012
36,000700,085,023
36,000700,109,058
36,000701,119,035
36,000702,119,035
36,000800,001,044
36,000800,021,043
36,000800,029,063
36,000800,061,026
36,000800,067,050
36,000800,081,015
36,000800,085,023
36,000800,109,058
36,000801,119,035
36,000802,119,035
36,000803,119,035
36,000900,007,052
36,000900,015,058
36,000900,021,043
36,000900,029,063
36,000900,047,025
36,000900,047,026
36,000900,061,026
36,000900,067,050
36,000900,067,053
36,000900,085,023
36,000900,109,058
36,000900,119,035
36,001000,015,058
36,001000,021,043
36,001000,029,063
36,001000,055,055
36,001000,067,053
36,001000,081,015
36,001000,109,058
36,001000,119,035
36,001001,061,026
36,001002,061,026
36,001100,001,044
36,001100,007,052
36,001100,015,058
36,001100,021,043
36,001100,029,063
36,001100,047,025
36,001100,071,042
36,001100,085,023
36,001100,109,051
36,001100,109,058
36,001101,119,035
36,001102,119,035
36,001102,119,037
36,001200,007,052
36,001200,021,043
36,001200,061,026
36,001200,071,042
36,001200,081,012
36,001200,081,015
36,001200,109,058
36,001200,119,035
36,001300,007,052
36,001300,021,043
36,001300,047,025
36,001300,055,056
36,001300,061,026
36,001300,071,042
36,001300,109,051
36,001300,109,058
36,001301,119,035
36,001301,119,037
36,001302,119,035
36,001303,119,035
36,001400,001,044
36,001400,007,052
36,001400,021,043
36,001400,067,050
36,001400,081,015
36,001400,109,051
36,001401,061,026
36,001401,119,035
36,001401,119,037
36,001402,029,063
36,001402,061,026
36,001402,119,035
36,001402,119,037
36,001403,119,035
36,001403,119,037
36,001500,001,044
36,001500,007,052
36,001500,021,043
36,001500,029,063
36,001500,047,025
36,001500,055,055
36,001500,055,056
36,001500,067,050
36,001500,071,042
36,001500,109,051
36,001500,109,054
36,001501,061,026
36,001502,061,026
36,001502,119,037
36,001503,119,037
36,001504,119,037
36,001505,119,037
36,001600,001,044
36,001600,005,032
36,001600,005,034
36,001600,007,052
36,001600,021,043
36,001600,029,063
36,001600,061,026
36,001600,067,050
36,001600,067,053
36,001600,071,042
36,001600,081,015
36,001600,109,058
36,001600,119,035
36,001600,119,037
36,001700,001,044
36,001700,007,052
36,001700,021,043
36,001700,029,063
36,001700,085,023
36,001700,109,058
36,001700,119,035
36,001700,119,037
36,001701,067,053
36,001702,067,053
36,001800,007,052
36,001800,021,043
36,001800,047,023
36,001800,047,025
36,001800,055,056
36,001800,061,026
36,001800,067,053
36,001800,081,015
36,001800,085,023
36,001800,109,051
36,001800,109,058
36,001800,119,035
36,001801,001,044
36,001802,001,044
36,001900,005,029
36,001900,005,034
36,001900,021,043
36,001900,029,063
36,001900,055,056
36,001900,067,053
36,001900,081,012
36,001900,109,051
36,001900,109,058
36,001900,119,035
36,001901,001,044
36,001902,001,044
36,002000,001,044
36,002000,005,032
36,002000,005,034
36,002000,021,043
